prefix,prompt,suffix,title,done
"[TASK]
Generate a 3x3 grid image (9 panels) tailored for messaging app stickers.

[FORMAT]
ASPECT_RATIO ::= ""1:1 (Square). The overall output image MUST be a perfect square, ensuring that each of the 3x3 grid panels is also a perfect square.""

[GLOBAL_PARAMETERS]
STYLE ::= ""Ultra-realistic cinematic photography, highly detailed, vivid colors.""
CAMERA ::= ""Bust-up shot (chest and head). 85mm portrait lens. The subject's face MUST occupy at least 25% of the panel area to emphasize exaggerated, expressive emotions.""
ENVIRONMENT ::= ""Contextual background that realistically matches the scene and props. Must use a shallow depth of field (f/1.8 aperture) to create a beautiful bokeh effect, blurring the background so the subject and text stand out clearly.""
TEXT_STYLE ::= ""Large, thick, bold, highly legible Japanese text placed at the bottom center of the panel, with a strong outline for visibility.""
LAYOUT_RULES ::= ""Seamless grid. Absolutely NO visible border lines, grid lines, separating frames, or white/black margins between the panels. Do NOT render panel labels, identifiers, or numbers (such as P1, P2, P3, etc.) anywhere in the generated image.""

[PANEL_GENERATION_LOGIC]
Each panel <P> must instantiate the following formula:
<P> ::= <SUBJECT> doing <ACTION> with <PROPS> in matching <ENVIRONMENT> + <TEXT_STYLE> rendering exact ""<TEXT>""

[VARIABLES]
SUBJECT ::=",リアルロックマン（じじいのコスプレ）     [INPUT_DATA],"P1: ACTION/PROPS=""An elderly Mega Man lying flat on his face on a futon, completely immobile like a game over screen"" | TEXT=""ティウンティウン（寝る）""
P2: ACTION/PROPS=""A close-up of the elderly man's eyes closing slowly, head drooping, fighting sleep but losing"" | TEXT=""限界だ…""
P3: ACTION/PROPS=""An elderly Mega Man waving a white handkerchief in surrender, sitting on the floor"" | TEXT=""降参じゃ""
P4: ACTION/PROPS=""An elderly man in cosplay staring blankly at a wall, looking devoid of all energy"" | TEXT=""燃え尽きた""
P5: ACTION/PROPS=""An elderly Mega Man trying to stand up but his knees buckle, crumbling back down slowly"" | TEXT=""立てぬ""
P6: ACTION/PROPS=""A close-up of the helmet being placed on a table next to a cup of tea, signifying the end of the day"" | TEXT=""任務完了（休憩）""
P7: ACTION/PROPS=""An elderly Mega Man sitting in a waiting room at a hospital, looking utterly bored and tired"" | TEXT=""待ち時間長すぎ""
P8: ACTION/PROPS=""An elderly man in a blue suit sighing deeply, shoulders slumped, looking at a calendar"" | TEXT=""明日は病院""
P9: ACTION/PROPS=""An elderly Mega Man giving a weak, final wave to the camera before pulling a blanket over his head"" | TEXT=""さらばだ（明日まで）""",リアルロックマン（じじいのコスプレ）,1
"[TASK]
Generate a 3x3 grid image (9 panels) tailored for messaging app stickers.

[FORMAT]
ASPECT_RATIO ::= ""1:1 (Square). The overall output image MUST be a perfect square, ensuring that each of the 3x3 grid panels is also a perfect square.""

[GLOBAL_PARAMETERS]
STYLE ::= ""Ultra-realistic cinematic photography, highly detailed, vivid colors.""
CAMERA ::= ""Bust-up shot (chest and head). 85mm portrait lens. The subject's face MUST occupy at least 25% of the panel area to emphasize exaggerated, expressive emotions.""
ENVIRONMENT ::= ""Contextual background that realistically matches the scene and props. Must use a shallow depth of field (f/1.8 aperture) to create a beautiful bokeh effect, blurring the background so the subject and text stand out clearly.""
TEXT_STYLE ::= ""Large, thick, bold, highly legible Japanese text placed at the bottom center of the panel, with a strong outline for visibility.""
LAYOUT_RULES ::= ""Seamless grid. Absolutely NO visible border lines, grid lines, separating frames, or white/black margins between the panels. Do NOT render panel labels, identifiers, or numbers (such as P1, P2, P3, etc.) anywhere in the generated image.""

[PANEL_GENERATION_LOGIC]
Each panel <P> must instantiate the following formula:
<P> ::= <SUBJECT> doing <ACTION> with <PROPS> in matching <ENVIRONMENT> + <TEXT_STYLE> rendering exact ""<TEXT>""

[VARIABLES]
SUBJECT ::=",眠るネコｘスタンダードワード    [INPUT_DATA],"P1: ACTION/PROPS=""Nodding slightly while eyes closed, fluffy sleeping cat"" | TEXT=""うん""
