おはようございます,暖かくして過ごしてね,おはよう?,あたたかくして過ごしてね
今日もがんばろう,インフルエンザに気を付けてね,今日もがんばっていこう,インフル気をつけてね
こんにちは,体調管理最優先で,やあ、こんにちは,体調が最優先だよ
OK,素敵なクリスマスを,OKだよ,素敵なクリスマスを過ごしてね
了解です,Merry Xmas,了解しました,Merry Christmas
いいですね,プレゼントお待ちしてます,いい感じです！,プレゼント楽しみにしてるよ
いつもありがとう,プレゼントありがとう,いつも本当にありがとう,プレゼント本当にありがとう
ゆっくりしてください,よい年末年始を,ゆっくり過ごしてね,良い年末年始をお迎えください
いい感じ！,なんだかバタバタ忙しいね,すごくいいよ！,なんだか忙しい時期だね
助かります,今年もお世話になりました,助かりました、ありがとう,今年もたくさんお世話になりました
感謝,よいお年を,感謝してます,よいお年をお迎えください
よろしくお願いします,あけおめ,よろしくお願いいたします,あけおめ?
おつかれさまです,あけましておめでとうございます,おつかれさまです?,新年あけましておめでとうございます
いつでも言ってください,ことよろ,いつでも声かけてね,今年もよろしくね
最高,本年もどうぞよろしくお願いいたします,最高すぎる,本年もよろしくお願いいたします
わーい,お年玉お待ちしております,わーい！嬉しい！,お年玉お待ちしてます?
いってらっしゃい,謹賀新年,いってらっしゃい、気をつけてね,新年のご挨拶
おかえりなさい,夢が叶う1年になりますように,おかえり?,願いが叶う1年になりますように
大雪に気を付けて,いいことたくさんありますように,大雪だから気をつけてね,良いこといっぱいありますように
激寒！！,健康第一,寒すぎる…！,健康が一番だよ
