prompt,prefix,suffix
"A baby in a horse costume yawning cutely, Japanese text “あけましておめでとう”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby sleeping soundly in a horse hood, Japanese text “ことよろ〜”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby holding a small mochi, Japanese text “お年玉ください”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby smiling sleepily, Japanese text “寝正月です”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby stretching arms while lying down, Japanese text “おはよう…たぶん”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby in a horse onesie holding a tiny daruma, Japanese text “午年スタート！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby dozing off beside a red envelope, Japanese text “もらった〜！”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby hugging a horse plush, Japanese text “ぬくぬく〜”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby peeking from a blanket, Japanese text “もう少し寝たい”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby with a pacifier and horse ears, Japanese text “おやすみモード”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby smiling softly with eyes closed, Japanese text “幸せな新年”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
"A baby lying on a futon kicking legs, Japanese text “正月エクササイズ”","Ultra-realistic digital illustration of a cute baby wearing a soft horse costume, peacefully spending the New Year holidays in bed. under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight, emphasizing the baby’s warm skin tones and the fluffy texture of the horse costume. Large bold Japanese text appears clearly in the image, positioned prominently near the baby, with high contrast white or red color and soft shadow for readability. The overall tone is adorable, calm, and humorous, capturing the cozy and lazy feeling of “寝正月”.

#",
