prompt,prefix,suffix,title,done
"A close-up shot of a steaming bowl of soba, rich broth, fresh scallions, warm ambiance. Text: 年越しそば.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.87 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A grateful old man bowing slightly, holding a full soba bowl, kind eyes, soft light. Text: 今年もありがとう.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.88 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A scene of a cozy Japanese room at night, window showing falling snow, a single soba bowl ready. Text: 大晦日だね.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.89 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A cheerful person waving brightly, wearing a festive hat, a quick farewell gesture. Text: 良いお年を.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.90 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A bowl of soba centered on a wooden table, hands holding chopsticks ready to dig in. Text: 年越しそばなう.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.91 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A hungry face looking intently at a steaming pot on the stove, drooling slightly. Text: そろそろ食べ頃.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.92 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A dramatic shot of an empty stomach rumbling, hands clutched in hunger. Text: お腹すいた.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.93 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
A quick hand snatching chopsticks and lunging for the soba bowl impatiently. Text: 我慢できない.,"hyper realistic photo, shot on Nikon Z9 with 85mm f/1.94 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"A character with eyes closed and a blissful smile, savoring the first bite of hot soba. Text: 幸せ?.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.95 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
"An enthusiastic thumbs-up gesture over a clean, empty soba bowl. Text: 最高かよ！.","hyper realistic photo, shot on Nikon Z9 with 85mm f/1.96 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super insane detail), depth of field, bokeh use rule of thirds, leading lines

#","place the quote in bold text with a thick outline, centered. ",年越しそば,
