prompt,prefix,suffix
"small plush Colorpoint Shorthair kitten sparkling eyes, text""！""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten nodding calmly, text""大丈夫です""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten with tiny note, text""遅れてすみません""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten pointing softly, text""返信不要です""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten holding flower, text""素敵です""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten thinking pose, text""なるほど""",,", bold centered safe"
"small plush Colorpoint Shorthair kitten stepping back, text""ごめんください""",,", bold centered safe"
"small plush Birman kitten with blue eyes and white mitten paws, sitting gently, text""おつかれさま""",,", bold centered safe"
"small plush Birman kitten leaning on cushion, text""ありがとう""",,", bold centered safe"
"small plush Birman kitten wrapped in soft scarf, text""よろしくお願いします""",,", bold centered safe"
"small plush Birman kitten peeking from blanket, text""具合どう？""",,", bold centered safe"
"small plush Birman kitten stretching front paws, text""いいですね！""",,", bold centered safe"
"small plush Birman kitten bowing softly, text""了解しました""",,", bold centered safe"
"small plush Birman kitten raising a paw, text""すばらしい！""",,", bold centered safe"
"small plush Birman kitten curled in blanket, text""おはようございます""",,", bold centered safe"
"small plush Birman kitten holding star pillow, text""おやすみなさい""",,", bold centered safe"
"small plush Birman kitten standing by door, text""いってきます""",,", bold centered safe"
"small plush Birman kitten tilting head, text""大丈夫？""",,", bold centered safe"
"small plush Birman kitten lifting both paws, text""がんばります！""",,", bold centered safe"
"small plush Birman kitten with tiny hat, text""HAPPY BIRTHDAY""",,", bold centered safe"
"small plush Birman kitten holding heart, text""THANK YOU!""",,", bold centered safe"
"small plush Birman kitten sitting neatly, text""楽しみです！""",,", bold centered safe"
"small plush Birman kitten arms up, text""やったー！""",,", bold centered safe"
"small plush Birman kitten bowing, text""すみません""",,", bold centered safe"
"small plush Birman kitten closing eyes softly, text""ごめんなさい""",,", bold centered safe"
"small plush Birman kitten with tiny bell, text""気をつけてね""",,", bold centered safe"
"small plush Birman kitten soft smile, text""おかげさまで""",,", bold centered safe"
"small plush Birman kitten walking lightly, text""今向かってます！""",,", bold centered safe"
"small plush Birman kitten looking forward, text""OK""",,", bold centered safe"
"small plush Birman kitten hugging cushion, text""おつかれさまです""",,", bold centered safe"
"small plush Birman kitten entering room, text""ただいま""",,", bold centered safe"
"small plush Birman kitten wearing small crown, text""おめでとうございます""",,", bold centered safe"
"small plush Birman kitten wrapped in towel, text""おだいじに""",,", bold centered safe"
"small plush Birman kitten nodding gently, text""わかりました""",,", bold centered safe"
"small plush Birman kitten standing firm, text""がんばってください""",,", bold centered safe"
"small plush Birman kitten in cozy corner, text""こんばんは""",,", bold centered safe"
"small plush Birman kitten worried look, text""どうしました？""",,", bold centered safe"
"small plush Birman kitten small bow, text""どういたしまして""",,", bold centered safe"
"small plush Birman kitten holding tiny bag, text""おつかれさまでした""",,", bold centered safe"
"small plush Birman kitten waving softly, text""こんにちは""",,", bold centered safe"
