prompt,prefix,suffix,title
"#small plush horse giving a tiny polite nod, simple indoor cloth backdrop, text""了解です"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse raising one hoof slightly, soft bright backdrop, text""はーい"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse making a tiny circle gesture with hooves, warm cozy backdrop, text""OKです"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse smiling softly with upright pose, gentle daylight backdrop, text""いいですね"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse bowing politely, clean neutral cloth backdrop, text""よろしくお願いします"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse stretching after waking up, morning light cloth backdrop, text""おはようございます"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse sitting calmly with soft smile, daytime window-like backdrop, text""こんにちは"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse holding a tiny star cushion, evening warm lights, text""こんばんは"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse wrapped in a red winter scarf, soft warm cloth backdrop, text""寒いですねー"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse shivering lightly with fluffy fur puffed up, knit blanket backdrop, text""さむーい"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse cheering with a tiny hoof pump, warm cozy room, text""寒いけどがんばろー"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse relaxing with a tiny warm drink plush, indoor table cloth backdrop, text""お疲れ様です"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse returning through a tiny plush doorway, homey backdrop, text""ただいまー"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse welcoming with open hooves, warm hallway-style room, text""おかえりなさい"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse sipping pretend tea, kotatsu-style cloth backdrop, text""一息ついてね"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse holding a hot-water-bottle plush, warm soft blanket, text""あたたかくして過ごしてね"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse curling under a fluffy blanket, dim cozy lights, text""おやすみなさい"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse holding a ribbon and bowing gently, soft neutral backdrop, text""ありがとうございます"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
"#small plush horse holding a tiny heart plush, pastel cloth backdrop, text""いつもありがとう"" bold centered safe","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, realistic plush doll photography style with gentle depth of field

",,
