prompt,prefix,suffix
"A man lying down with a horse mask nearby, Japanese text “社会復帰ムリ”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A woman under a futon with horse ears headband, Japanese text “寝るのが初詣”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A man sleeping beside a horse calendar, Japanese text “午年スタート！”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A woman petting a small horse plush, Japanese text “お年玉ちょうだい”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A man dozing off with a horse-shaped mug, Japanese text “ぬくぬく中”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A woman smiling sleepily beside a horse statue, Japanese text “いい年になりますように”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A man buried under horse-pattern blankets, Japanese text “夢で走ってた”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A woman lying in bed watching TV, Japanese text “駅伝、観てる風”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A man feeding carrots to a horse plush, Japanese text “寝ながら応援中”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
"A woman peeking from a futon, Japanese text “午年もよろしく”","Ultra-realistic digital illustration of a Japanese man or woman relaxing during the New Year holidays in a humorous and relatable winter atmosphere, under a perfectly clear bright blue winter sky with no clouds at all, background is pure blue with a smooth gradient and no visible ground. Lighting is soft HDR daylight. Large bold Japanese text appears clearly in the image, positioned prominently near the character, with high contrast white or red color and subtle shadow for readability. The overall tone is realistic yet slightly comedic, depicting the calm, lazy, and cozy feeling of “寝正月”.

#",
