prompt,prefix,suffix
"small plush Bombay kitten leaning on cushion, text""ありがとう""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten wrapped in tiny scarf, text""よろしくお願いします""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten peeking from blanket, text""具合どう？""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten stretching front legs, text""いいですね！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten bowing gently, text""了解しました""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten raising a paw, text""すばらしい！""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten curled softly, text""おはようございます""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten holding small star pillow, text""おやすみなさい""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten near door, text""いってきます""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
"small plush Bombay kitten tilting head, text""大丈夫？""","small plush animal character with soft realistic fur texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette

#",", bold centered safe"
