prompt,prefix,suffix,title
cat,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,cat
dog,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,dog
rabbit,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,rabbit
panda,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,panda
fox,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,fox
bird,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,bird
bear,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette



#",,bear
cat in a tiny wizard hat,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,cat_wizard
dog wearing a detective coat,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,dog_detective
rabbit with a ribbon bow tie,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,rabbit_ribbon
panda holding a small umbrella,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,panda_umbrella
fox wearing tiny glasses,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,fox_glasses
bird with a sailor collar,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,bird_sailor
bear wearing a knitted scarf,"small character with soft realistic texture, round and chubby body, simple expressionless eyes, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic doll photography style with gentle depth of field and subtle vignette

#",,bear_scarf
