prompt,prefix,suffix,title
"wearing a soft pink kimono with subtle floral patterns, gentle smile, text color white, text""了解です""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.8 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a sky-blue kimono, raising her hand lightly, text color white, text""はーい""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.9 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a pale lavender kimono, bright approving smile, text color white, text""いいですね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.10 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a navy kimono with gold obi, polite bow, text color white, text""よろしくお願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.11 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a warm cream kimono in morning light, soft greeting smile, text color white, text""おはようございます""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.12 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a deep indigo kimono, lantern-lit evening expression, text color white, text""こんばんは""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.13 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a winter gray kimono with snowflake motifs, puffing warm breath, text color white, text""寒いですねー""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.14 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a burgundy kimono, gentle tired smile, text color white, text""お疲れ様です""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.15 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a beige winter kimono and holding a warm drink, text color white, text""あたたくして過ごしてね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.16 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a navy night-kimono, sleepy gentle eyes, text color white, text""おやすみなさい""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.17 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a rose-pink kimono, warm grateful smile, text color white, text""いつもありがとう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.18 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a soft pastel kimono, bowing deeply, text color white, text""ぺこり""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.19 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a sage green kimono, polite request gesture, text color white, text""お願いします""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.20 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a coral-red kimono, joyful excited smile, text color white, text""わーいやったー""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.21 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a pale mint kimono, gentle worried look, text color white, text""無理しないでね""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.22 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
"wearing a winter-white kimono with medical motif ribbon, caring expression, text color white, text""風邪に気を付けましょう""","hyper?realistic photo, shot on Nikon Z9 with 85mm f/1.23 portrait, dutch tilt, clamshell beauty, kinetic, cinematic color grading, extremely detailed textures (super?insane detail), depth of field, bokeh use rule of thirds, leading lines

#",,
