No,シリーズ名（被写体 × 衣装/状況）,コンセプト・見どころ,done
1,凍える女子高生 (JK),薄い制服で震えながら、スマホ片手に「了解」や「草」と返す。,1
2,凍えるサラリーマン,ボロボロのスーツで、鼻水を凍らせながら「承知いたしました」。,
3,凍える着物美女,優雅な振袖なのに、寒すぎて表情が崩れた「あけおめ」。,1
4,凍えるマッチョ,筋肉をアピールしているが、寒さでパンンプアップが止まっている。,
5,凍えるギャル,露出高めの服で、「まじ寒すぎてぴえん」なリアクション。,
6,凍えるおじいちゃん,孫を待つ駅のホームで、ガタガタ震えながらの「お年玉」。,1
7,凍えるおばあちゃん,コタツが壊れた部屋で、毛布にくるまって「あたたかくしてね」。,1
8,凍える小学生,半ズボンで登校中、氷結したランドセルを背負って「おはよう」。,1
9,凍える主婦 (エプロン姿),冷水での大掃除中、手が真っ赤になりながらの「お疲れ様」。,1
10,凍えるシェフ,冷凍庫に閉じ込められた状況で、コック帽を凍らせて「召し上がれ」。,1
11,凍えるナース,病院の非常階段で一息つく、夜勤明けの極寒「おやすみ」。,1
12,凍えるサンタクロース,トナカイとはぐれ、雪山で遭難しかけながらの「メリークリスマス」。,
13,凍える忍者,水遁の術で池に潜ったら、水面が凍って出られなくなった「ドロン」。,
14,凍える西洋騎士 (鎧),金属の鎧が冷え切り、全身がキンキンに冷えた「ご安全に」。,
15,凍える猫耳メイド,ご主人様を外で待ちすぎて、猫耳まで凍りついた「おかえりなさい」。,
16,凍えるパンクロッカー,皮ジャン一枚で叫ぶが、声が寒さで震えている「最高かよ」。,
17,凍えるアスリート,ランニング中に猛吹雪に遭い、氷の塊のようになった「ファイト」。,
18,凍える現場作業員,工事現場のドラム缶の火を見つめて、しみじみ語る「感謝」。,
19,凍えるお坊さん,滝行をしたらそのまま凍ってしまった、悟りを開いた「無」。,
20,凍えるヒッピー,自由を求めて雪原に来たが、あまりの寒さに「帰り道どこ」。,
No,シリーズ名（被写体 × 状況）,バズりポイント（シュール・インパクト）,
