prompt,prefix,suffix,title
"#small plush Toy Poodle dog nodding slowly with gentle eyes, pastel cloth backdrop, text""うんうん"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding a mini-calendar plush, bright cozy cloth, text""楽しみにしてます"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog bouncing lightly with sparkles, warm pastel cloth, text""わくわく"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog wrapping itself in a fluffy shawl, warm indoor cloth, text""暖かくして"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog wearing a soft Santa hat on its round head and holding a tiny wreath, festive cloth, text""Merry Christmas"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding a plush gift box while wearing a tiny Santa coat, warm holiday lights, text""プレゼントありがとう"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog in Santa hat peeking into a mini gift box, soft festive cloth, text""クリスマスプレゼントかな？"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog in Santa cape surrounded by plush lights, festive warm cloth, text""ステキなクリスマスになりますように"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog wearing a winter scarf doing a polite bow, warm cloth room, text""今年もお世話になりました"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog waving with tiny Santa gloves, bright festive cloth, text""来年もよろしくお願いします"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding a mini kadomatsu plush while wearing a tiny kimono ribbon, clean festive cloth, text""よいお年をお迎えください"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog wearing a soft New Year kimono-style ribbon, bright warm backdrop, text""あけましておめでとうございます"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog reaching toward sparkles with New Year ornament plush, bright cozy cloth, text""いいことたくさんありますように"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog surrounded by heart plushies with tiny kimono sash, soft warm cloth, text""幸せいっぱいの1年になりますように"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding a small money-pouch plush while in mini kimono, festive cloth backdrop, text""お年玉待ってます"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog proudly holding an opened pouch plush, bright festive cloth, text""お年玉ありがとう"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog posing with a mini shimenawa plush in New Year outfit, clean bright cloth, text""謹賀新年"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog bowing calmly with New Year kimono ribbon, warm neutral cloth, text""今年もよろしくお願いします"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog looking at rising-sun motif plush with kimono sash, clean bright cloth, text""良い年になりますように"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog drooping sadly with lowered head, muted pastel cloth, text""つらい…"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog offering a comforting paw, warm cozy cloth background, text""大丈夫？"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog fully tucked under a blanket with tiny kimono ribbon showing, dim calm cloth, text""ゆっくり休みます"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding a tiny nurse-cap plush, bright clean cloth, text""健康第一"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog sitting neatly with gentle smile, neutral warm cloth backdrop, text""大丈夫です"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog rolling on its back playfully with fluffy legs up, pastel fun cloth, text""うける"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog holding two heart plushies with curly paws, warm bright cloth, text""いつもありがとうありがとう"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
"#small plush Toy Poodle dog waving goodbye gently in mini kimono bow, cozy indoor cloth backdrop, text""ではまた"" bold centered safe","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" smiling softly in morning light, wearing red kimono, text color white, text""おはようございます""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" warm breath in cold morning, hands together for warmth, red kimono, text color white, text""おはよう今日も寒いね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" determined gentle smile, slight forward lean, red kimono, text color white, text""今日もがんばろう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" soft friendly smile, natural daylight, red kimono, text color white, text""こんにちは""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" illuminated by warm lantern light, quiet evening expression, red kimono, text color white, text""こんばんは""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" gentle thumbs-up gesture, confident smile, red kimono, text color white, text""OK""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" raising hand lightly, relaxed smile, red kimono, text color white, text""はーい""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" small polite nod, composed expression, red kimono, text color white, text""了解です""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" bright pleased smile, elegant posture, red kimono, text color white, text""いいですね""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" soft heartfelt smile, hands gently placed on chest, red kimono, text color white, text""いつもありがとう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" sitting gracefully with relaxed pose, red kimono, text color white, text""一休みしましょう""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" polite bow with warm eyes, red kimono, text color white, text""ありがとうございます""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" gentle smile with soft open-hand gesture, red kimono, text color white, text""どういたしまして""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" offering warm tea cup, healing gentle smile, red kimono, text color white, text""ゆっくりしてください""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" confident positive smile, head slightly tilted, red kimono, text color white, text""いい感じ！""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" grateful expression, light bow, red kimono, text color white, text""助かります""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" eyes closed with serene gratitude, red kimono, text color white, text""感謝""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" polite formal posture, elegant slight bow, red kimono, text color white, text""よろしくお願いします""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" tired but warm smile, hand on chest, red kimono, text color white, text""おつかれさま""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" polite yet friendly work-mode smile, red kimono, text color white, text""おつかれさまです""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
" inviting soft gesture, open palms, red kimono, text color white, text""いつでも言ってください""","small plush animal character with soft  light fur, fluffy realistic texture, round and chubby body, short limbs, simple expressionless eyes, wearing soft fabric accessories, tied neatly or arranged naturally, soft indoor lighting, warm cozy color tone, sunlight softly filtering through the air, realistic plush doll photography style with gentle depth of field and subtle vignette, the background softly blurred.

#",,
